Quality Metrics in High-Dimensional Data Visualization: An Overview and Systematization,2011,InfoVis,Theory and Foundations,"Enrico Bertini, Andrada Tatu, Daniel Keim","Quality Metrics, High-Dimensional Data Visualization.",,,,,,,,,1,,,,1,,1,
Benefitting InfoVis with Visual Difficulties,2011,InfoVis,Theory and Foundations,"Jessica Hullman, Eytan Adar, Priti Shah","Desirable difficulites, cognitive efficiency, active processing, engagement, individual differences.",,,,,,,,,1,,,,1,,1,
Product Plots,2011,InfoVis,Theory and Foundations,"Hadley Wickham, Heike Hofmann","Statistics, joint distribution, conditional distribution, treemap, bar chart, mosaic plot.",,,,,1,,,,1,,,,1,,,
Visualization Rhetoric: Framing Effects in Narrative Visualization,2011,InfoVis,Theory and Foundations,"Jessica Hullman, Nick Diakopoulos","Rhetoric, narrative visualization, framing effects, semiotics, denotation, connotation.",,,,,1,,,,,,,,1,,,
Adaptive Privacy-Preserving Visualization Using Parallel Coordinates,2011,InfoVis,Theory and Foundations,"Aritra Dasgupta, Robert Kosara","Parallel coordinates, privacy, clustering.",,,,1,,,,,1,,,,1,1,,
Context-Preserving Visual Links,2011,InfoVis,Techniques,"Markus Steinberger, Manuela Waldner, Marc Streit, Alexander Lex, Dieter Schmalstieg","Visual links, highlighting, connectedness, routing, image-based, saliency.",,,,,,,1,,,1,,1,1,,,1
"Design Study of LineSets, a Novel Set Visualization Technique",2011,InfoVis,Techniques,"Basak Alper, Nathalie Riche, Gonzalo Ramos, Mary Czerwinski","Set visualization, clustering, faceted data visualization, graph visualization.",,1,1,1,,1,,,,,,1,,1,,1
Developing and Evaluating Quilts for the Depiction of Large Layered Graphs,2011,InfoVis,Techniques,"Juhee Bae, Benjamin Watson","Graph drawing, layered graphs, matrix based depiction, node-link diagram.",,1,,1,,,,,,,,1,,,,
Arc Length-based Aspect Ratio Selection,2011,InfoVis,Techniques,"Justin Talbot, John Gerth, Pat Hanrahan","Aspect ratio selection, Banking to 45 degrees, Orientation resolution.",1,,,,1,,,,,,1,,,1,,
Asymmetric Relations in Longitudinal Social Networks,2011,InfoVis,Techniques,"Ulrik Brandes, Bobo Nick","Network Visualization, Social Networks, Time Series Data, Visual Knowledge Discovery and Representation, Glyph- based Techniques.",,,,,1,,,,,,,,1,,,1
